Name, City, State, Zip, Address, Price, Date,
Tower 12, Seattle,WA,98121,2015 2nd Ave,$2513 - 11035,2020-05-10,
Circa Green Lake Apartments, Seattle,WA,98115,6900 E Green Lake Way N,$1701 - 5000,2020-05-10,
LUNA, Seattle,WA,98116,2745 California Ave SW,$1600 - 2428,2020-05-10,
Common Summit, Seattle,WA,98122,1722 Summit Ave,$1050 - 1800,2020-05-10,
Elan 41, Seattle,WA,98116,4100 SW Edmunds St SW,$1981 - 2453,2020-05-10,
The Olivian, Seattle,WA,98101,809 Olive Way,$3332 - 6749,2020-05-10,
Leilani Apartment Homes, Seattle,WA,98133,10215 Greenwood Ave N,$1385 - 3165,2020-05-10,
Helm, Seattle,WA,98109,625 Boren Ave,$2650 - 12500,2020-05-10,
Elara At The Market, Seattle,WA,98121,2134 Western Ave,$2025 - 5785,2020-05-10,
Pike Motorworks, Seattle,WA,98122,715 E Pine St,$1766 - 10000,2020-05-10,
Sedona Apartments, Seattle,WA,98115,8500 20th Ave NE,$891 - 4164,2020-05-10,
Sitka, Seattle,WA,98109,1255 Harrison St,$1929 - 5749,2020-05-10,
Spruce, Seattle,WA,98116,4555 39th Ave SW,$1490 - 3415,2020-05-10,
The Mill at First Hill, Seattle,WA,98104,1000 8th Ave,$1548 - 6142,2020-05-10,
AMLI Arc, Seattle,WA,98101,1800 Boren Ave,$2393 - 8652,2020-05-10,
Fox & Finch Apartments, Seattle,WA,98109,525 Boren Ave N,$2150 - 3475,2020-05-10,
Saxton, Seattle,WA,98104,520 Terry Ave,$1895 - 3365,2020-05-10,
Tellus on Dexter Apartments, Seattle,WA,98109,403 Dexter Ave N,$2000 - 3775,2020-05-10,
STAZIONE25, Seattle,WA,98144,2615 25th Ave S,$1235 - 3400,2020-05-10,
Airmark Apartments, Seattle,WA,98188,229 Andover Park E,$1313 - 6930,2020-05-10,
Origin Apartments, Seattle,WA,98125,12311 32nd Ave NE,$1575 - 3060,2020-05-10,
Met Tower, Seattle,WA,98101,1942-1942 Westlake Ave,$1995 - 4895,2020-05-10,
Overlook at Magnolia, Seattle,WA,98199,3520 27th Pl W,$1600 - 3230,2020-05-10,
Infinity Apartments, Seattle,WA,98122,1414 10th Ave,$1997 - 4725,2020-05-10,
Vive, Seattle,WA,98107,1516 NW 51st St,$1455 - 2720,2020-05-10,
Kiara, Seattle,WA,98109,111 Terry Ave N,$2255 - 17100,2020-05-10,
Batik, Seattle,WA,98122,123 Broadway,$2070 - 4945,2020-05-10,
Westlake Steps, Seattle,WA,98109,1207 Westlake Ave N,$1875 - 6330,2020-05-10,
One Lakefront, Seattle,WA,98109,1287 Westlake Ave N,$1930 - 4800,2020-05-10,
JUXT, Seattle,WA,98109,810 Dexter Ave N,$1980 - 6235,2020-05-10,
Charbern Apartments, Seattle,WA,98122,1705 Belmont Ave,$1514 - 12435,2020-05-10,
Malloy, Seattle,WA,98105,4337 15th Ave NE,$1368 - 2200,2020-05-10,
